total_ratings,city,business_name,phone_number,address,profession,website,rating
44,Boston,Citystone Waterproofing and Foundation specialists,+1 617-963-4815,sonry contractor,Waterproofing Specialists,https://www.citystonewaterproofing.com/,5.0
42,Boston,Boston District's Waterproofing,+1 617-777-8969,terproofing service · 1 Mifflin Pl,Waterproofing Specialists,https://www.bostondistrictswaterproofing.com/,4.9
22,Boston,Urgent waterproofing & construction,+1 617-820-3787,terproofing service,Waterproofing Specialists,https://www.urgentwaterproofingandconstruction.com/,4.8
"1,462",Boston,1-800-BUSY-DOG,+1 800-287-9364,terproofing service,Waterproofing Specialists,https://1800busydog.com/,4.7
1,Boston,The City Waterproofing Solutions,+1 617-925-6094,terproofing service,Waterproofing Specialists,http://www.waterproofing-boston.com/,5.0
70,Boston,"Metro Masonry & foundation, waterproofing",+1 617-963-4902,sonry contractor · 45 Prospect St,Waterproofing Specialists,http://www.metromasonryfoundationswaterproofing.com/,4.9
5,Boston,Boston Basement Waterproofing & Repair,+1 857-477-7791,terproofing service,Waterproofing Specialists,https://bostonbasementwaterproofingpros.com/,4.2
149,Boston,Mrw Contractors-Masonry Restoration & Waterproofing,+1 617-412-7696,sonry contractor · 377 Willard St #297,Waterproofing Specialists,https://mrwmasonry.com/,5.0
19,Boston,East Coast Masonry & Waterproofing,+1 781-815-0555,sonry contractor,Waterproofing Specialists,https://eastcoastmasonryandwaterproofing.com/,5.0
6,Boston,The Waterproofing Company,+1 617-541-0506,neral contractor · 25 Chesterton St,Waterproofing Specialists,,3.5
26,Boston,Premium Waterproofing and Foundations,+1 617-777-6940,terproofing service,Waterproofing Specialists,https://premiumwaterproofingandfoundationspecialist.com/,5.0
23,Boston,Keller Waterproofing & Foundation Specialists Cambridge,+1 857-578-4100,terproofing service,Waterproofing Specialists,https://kellerbasementne.com/,4.8
489,Boston,Drycrete Waterproofing,+1 781-786-7236,terproofing service · 2214 Providence Hwy,Waterproofing Specialists,https://drycretewp.com/,5.0
,Boston,Premier Basement Waterproofing,+1 844-548-3379,terproofing service,Waterproofing Specialists,https://www.premierbasement.net/?utm_source=gbp&utm_medium=organic,
1,Boston,Boston waterproofing & Construction,+1 857-453-9678,terproofing service,Waterproofing Specialists,https://www.bostonwaterproofingandconstruction.com/,1.0
75,Boston,Larson's Foundation Waterproofing LLC,+1 781-367-3893,terproofing service,Waterproofing Specialists,https://larsonswaterproofing.com/,4.9
